c_no	r_no	c_sex	c_name	c_birth	c_seat	c_division
109	38	0	Ryu Naeun	2000-05-05	c11	1
110	39	1	Sung Jibun	1995-06-01	g11	1
111	39	1	Lee Jia	2012-03-01	g1	2
112	39	1	Lee Jisoo	1993-12-02	b3	1
113	39	1	Lee Jisil	1992-01-06	g3	1
114	40	0	Lee Gahoon	2004-09-09	f2	1
115	40	1	Lee Jinseo	2008-09-09	d4	1
116	40	0	Lee Dongin	2017-03-01	e1	2
117	40	1	Shin Dajin	2001-02-02	a5	1
118	40	0	Shin Dawoon	2021-02-01	f20	3
119	41	1	Jo Dasung	2007-09-04	a1	1
120	41	0	Jo Youngseol	2022-01-02	a19	3
121	41	1	Jo Youngjun	1998-05-06	c12	1
122	42	0	Park Bitna	2007-09-02	f1	1
123	43	1	Jung Sunga	2010-07-02	d6	1
124	43	0	Jung Seolbin	2017-03-02	d3	2
125	43	1	Jung Jina	2010-06-09	f19	1
126	44	0	Joo Mihee	2014-01-01	a4	2
127	44	0	Joo Miseol	1995-01-05	b20	1
128	44	1	Joo Mihwa	2022-04-05	d12	3
129	44	0	Baek Taeyoung	1996-06-04	e12	1
130	45	1	Baek Jida	2016-01-19	a1	2
131	45	0	Baek Hahneul	1997-05-05	a2	1
132	45	1	Baek Geumna	1990-12-04	b3	1
133	45	0	Baek Pahrang	1989-02-04	d3	1
134	46	1	Shin Sunga	1988-02-01	a6	1
135	46	0	Kwak Yoonki	1998-12-01	b7	1
136	46	1	Oh Jihoon	1995-01-01	b3	1
137	46	0	Oh Yoonseo	2011-09-12	e2	2
138	47	1	Cha Daehoon	1991-12-10	g17	1
139	47	0	Cha Eunwoo	1992-02-06	e12	1
140	48	1	Shin Soorin	1989-02-02	a1	1
141	48	0	Choi Jooeun	1995-12-06	b1	1
142	48	0	Choi Youngseo	2016-01-19	c12	2
143	49	1	Choi Junseo	2000-05-05	f12	1
144	49	1	Hwang Jintae	2001-05-15	f11	1
145	49	1	Hwang Hyunbin	2010-05-08	f15	1
146	50	1	Hwang Seoeun	2000-02-01	e10	1
147	50	0	Hwang Jibaek	2013-05-06	e20	2
148	50	1	Moon Hyukhyuk	1999-05-06	e19	1
149	51	0	Moon Are	2022-05-06	a20	3
150	51	1	Moon Sooa	1998-02-05	b19	1
151	51	0	Yoon Bonggil	2022-02-01	c12	3
152	52	1	Yu Gwansun	1994-02-01	e11	1
153	52	0	Im Jihwan	2001-06-09	e1	1
154	53	1	Kim Jihwa	1999-12-01	d1	1
155	54	0	Lee Kyongre	2018-05-07	d18	2
156	54	1	Lee Bomin	2002-02-02	a13	1
157	54	1	Im Seoyoon	2017-03-02	e3	2
158	54	1	Yu Jitae	1998-01-02	g12	1
159	55	0	An Seohee	2020-09-02	b20	3
160	55	1	Gong Seowoon	1988-02-01	c10	1
161	56	0	Gong Yooboo	2015-06-09	a19	2
162	56	1	Heo Jungmin	1985-05-05	b19	1
163	56	1	Heo Yoonseo	1990-02-01	e18	1
164	56	0	Bae Hahneul	2000-12-01	e13	1
165	57	1	Bae Norang	2003-02-05	d12	1
166	57	0	Bang Mina	2010-02-02	d1	1
167	57	0	Oh Jungmin	2010-02-06	e1	1
168	57	1	Je Galeun	2021-05-09	a1	3
169	58	0	Jeom Seowoo	1998-02-02	d12	1
170	58	1	Jang Kihan	1995-02-06	d15	1
171	58	1	Jang Kihah	1997-08-02	d19	1
172	59	0	Ryu Yieun	2018-05-07	a10	2
173	59	1	Bang Minsoo	2000-06-06	b10	1
174	59	0	Kim Minsoo	2017-05-06	c10	2
175	59	1	Kwon Hyuksoo	2001-05-06	d10	1
176	60	0	Kwon Jitae	2022-05-06	c14	3
177	61	1	Chae Byeolyi	2002-05-09	a5	1
178	61	0	Moon Byeolyi	2013-05-06	f1	2
179	62	1	Seo Eunsoo	2002-04-06	a9	1
180	62	0	Gung Minhwan	2003-06-09	b9	1
181	63	1	So Insoo	2004-05-05	c3	1
182	63	0	Sun Wooa	2002-02-05	e7	1
183	64	1	Bok Mina	2001-02-05	d5	1
184	64	1	Maeng Hahneul	2000-02-02	a3	1
185	64	1	Muk Biyoon	2018-05-01	f12	2
186	65	0	Min Sieun	1998-09-05	d4	1
187	65	0	Min Jieun	1997-05-05	g1	1
188	65	1	Joo Seoeui	1994-02-01	d1	1
189	66	0	Jung Hwarim	2000-05-06	a3	1
190	66	1	Hwan Jiyoo	2018-05-07	c14	2
191	66	1	Hyeon Arin	2001-05-09	b20	1
192	67	1	Ham Jiwoo	2005-06-05	c18	1
193	67	1	Gam Woosung	2022-05-05	c19	3
194	67	0	Kang Kyongjun	2006-06-06	b12	1
195	68	1	Kang Kiyoung	2005-12-02	a1	1
196	68	0	Kang Namgil	2008-01-01	a4	1
197	68	1	Kim Nalgil	2014-01-01	a5	2
198	69	0	Kang Dongwon	2000-05-05	a4	1
199	69	1	Kang Bongsung	2012-03-01	a2	2
200	70	0	Kang Seokwoo	1998-02-01	d3	1
201	70	1	Kang Sungmin	2020-11-14	e17	3
202	70	0	Kang Yiseok	2005-05-05	e1	1
203	71	1	Gal Sowon	2017-03-01	f1	2
204	71	0	Kang Kyongheon	1997-08-09	d3	1
205	71	1	Kang Byeolbyeol	1995-01-06	e1	1
206	72	0	Kang Booja	1998-05-05	a6	1
207	72	1	Kang Soyeon	2000-06-06	g1	1
208	73	0	Kang Sora	2010-07-05	f16	1
209	73	1	Kang Sungyeon	1997-09-04	f12	1
210	73	0	Kang Sunga	2016-01-14	e15	2
211	73	1	Na Inwoo	2000-02-05	f15	1
212	73	0	Na Yoonchan	2001-02-03	f20	1
213	74	1	Nam Gungwon	2002-02-01	g4	1
214	75	0	Nam Gungmin	2003-02-03	a7	1
215	75	1	Ryu Kyongsoo	2012-06-09	b3	2
216	75	1	Ryu Damdam	2004-02-06	f8	1
217	75	1	Ryu Seungryong	2001-02-01	f4	1
218	75	1	Ma Dongseok	2002-02-01	f2	1
219	76	0	Ryu Jinjin	2000-12-02	a5	1
220	76	1	Myeong Gehhnam	2017-03-02	c14	2
221	76	1	Park Nosik	1998-12-04	b20	1
222	76	0	Park Kiwoong	1997-12-01	b18	1
223	77	1	Park Youngkyu	1996-02-10	a15	1
224	77	0	Park Jungmin	1998-12-01	b15	1
225	77	1	Seo Kangjun	2022-01-02	c15	3
226	78	0	Seo Gunwoo	2000-01-02	g4	1
227	78	0	Seo Kyongsoo	2001-02-03	a6	1
228	78	1	Seo Dongyoung	2000-04-05	e3	1
229	79	1	Sun Donghyuk	2016-01-19	g10	2
230	79	0	Sun Wooduk	2005-06-05	e12	1
231	79	1	Seol Kyonggoo	2013-05-06	a14	2
232	79	0	Eom Kijun	1995-07-06	b20	1
233	80	1	Yang Seijong	2021-02-06	a6	3
234	80	0	Yang Seihyung	1998-05-05	g1	1
235	80	1	Yeon Woojin	2017-03-01	a5	2
236	80	0	Jang Gwanggwang	2010-07-05	e1	1
237	81	1	Jang Gunseok	1997-09-04	e1	1
238	81	0	Jeon Woonwoon	1999-02-05	g14	1
239	81	1	Choi Woosik	2001-02-03	a14	1
240	82	0	Park Seojun	2002-02-01	a3	1
241	82	1	Choi Jaeho	2002-02-03	b12	1
242	82	0	Hwang Jungmin	2016-01-19	c4	2
243	83	1	Son Eunseo	2001-02-01	c12	1
244	83	1	Song Yoona	2002-01-01	e20	1
245	83	0	Song Jiwoo	2003-06-05	a19	1
246	84	0	Song Jihyun	2001-02-02	a11	1
247	84	1	Song Jihyo	2014-01-01	b20	2
248	84	0	Song Chaehwan	1998-02-05	c14	1
249	84	1	An Songyoung	1994-02-05	d14	1
250	85	1	Eom Junghwa	1996-06-06	d1	1
251	85	1	Eom Yoosin	1992-05-05	g19	1
252	85	0	Ye Soojung	2020-09-02	e2	3
253	86	1	Kim Soojung	1991-06-09	a19	1
254	86	0	Jang Youngnam	1990-05-01	b20	1
255	86	1	Jeon Soni	1992-02-05	c12	1
256	87	0	Jeon Somi	2017-03-02	a1	2
257	87	0	Jeon Jihyun	1990-05-05	c12	1
258	88	1	Jeon Hyebin	2015-06-09	a1	2
259	88	0	Jang Yobin	1995-12-05	b20	1
260	88	0	Jang Sojung	2020-11-06	c10	3
261	89	1	Choi Jahye	1995-09-18	a6	1
262	89	0	Choi Eunhee	2012-06-09	g20	2
263	89	1	Choi Jisoo	1997-05-06	e19	1
264	89	0	Choi Jiwoo	1993-06-15	d19	1
265	90	1	Ha Seungre	1992-08-09	a19	1
266	90	1	Ha Sieun	1990-06-06	b1	1
267	90	1	Ha Yeonsoo	2000-06-05	c1	1
268	90	0	Ha Yeonjoo	2005-05-06	e12	1
269	91	1	Ha Yoomi	2016-01-14	a1	2
270	91	0	Ha Yoonkyong	2004-05-06	f4	1
271	91	1	Ha Jaesook	2005-05-05	g6	1
272	91	0	Ha Jiwon	2009-06-05	f1	1
273	92	0	Ha Jieun	2010-02-01	a17	1
274	92	1	Ha Heera	2017-03-01	b18	2
275	93	0	Han Garim	1995-06-09	c14	1
276	93	1	Han Dasol	1995-04-06	e12	1
277	93	0	Pyo Yejin	1992-12-02	a3	1
278	93	1	Tae Hyunsil	1990-05-05	a1	1
279	94	0	Tae Mimi	2014-01-01	a5	2
280	94	1	Choo Yejin	1998-05-09	b8	1
281	94	0	Ham Eunjung	2021-02-15	d10	3
282	95	0	Heo Yulyul	2000-05-09	a5	1
283	95	1	Heo Jungeoo	2000-07-08	b2	1
284	95	1	Joo Hyunyoung	1990-06-05	a4	1
285	96	0	Hyeon Youngyoung	2012-03-01	a14	2
286	96	1	Hong Rena	1995-07-18	c20	1
287	96	0	Hong Sooa	2018-05-07	d12	2
288	97	1	Na Moonhee	1995-06-15	a5	1
289	87	0	Moon Jiin	2020-11-14	d11	3
290	97	1	Min Yeji	1990-06-06	b2	1
291	97	0	Min Jia	2018-05-07	d7	2
292	98	1	Min Hyorin	2004-05-06	e13	1
293	98	1	Min Chaeeun	2004-05-06	f12	1
294	98	1	Park Kyonghye	2005-05-05	g12	1
295	99	0	Park Gilra	2009-06-05	a5	1
296	99	1	Park Boyoung	2010-02-01	b12	1
297	99	0	Park Suna	1991-06-09	d20	1
298	99	1	No Soona	2016-01-19	e1	2
299	100	0	Lee Seulki	1996-09-18	a9	1
300	100	1	Choi Yeseol	1992-05-06	b9	1
301	100	0	Lee Hyore	1993-07-15	c9	1
302	100	1	Kwak Geolgeol	1992-08-09	d9	1
303	100	0	Kwak Gyeolho	2015-06-09	e20	2
304	101	1	Kwak Kyongtaek	2000-06-05	a1	1
305	102	0	Kwak Gwangsun	2005-05-16	g12	1
306	102	1	Kwak Kyumi	2004-05-06	e1	1
307	102	0	Kwak Kyuseok	2005-05-15	a18	1
308	103	1	Kwak Nakwon	2016-05-06	a14	2
309	103	0	Kwak Dowon	2010-03-01	a19	1
310	104	1	Kwak Dongki	2016-05-06	a14	2
311	104	0	Kwak Dongyeon	1999-04-06	e18	1
312	104	1	Kwak Donghan	2021-02-06	g12	3
313	104	0	Kwak Donghyun	1991-05-05	a4	1
314	105	1	Kwak Minsun	2013-05-06	a4	2
315	105	1	Kwak Baeksoo	2005-06-06	a6	1
316	105	1	Kwak Beombeom	1998-02-05	g3	1
317	105	0	Kwak Binbin	1994-02-05	e1	1
318	106	0	Kwak Sunyoung	1996-06-06	a6	1
319	106	1	Baek Gayoung	1992-05-05	e1	1
320	106	0	Baek Goyi	1991-06-09	g5	1
321	106	0	Baek Gunwoo	2017-03-01	e2	2
322	107	1	Baek Gwangseok	1992-02-05	a4	1
323	107	0	Baek Kiwan	1990-05-05	b1	1
324	107	1	Baek Gunki	1995-12-05	a5	1
325	107	0	Baek Nakcheong	2012-03-01	a1	2
326	107	1	Baek Namjun	2000-05-05	b5	1
327	108	1	Baek Donghyun	1998-02-01	a13	1
328	108	1	Baek Borahm	2005-05-05	b12	1
329	108	0	Baek Bongki	1997-08-09	c18	1
330	109	1	Baek Sangwon	2012-06-09	a9	2
331	109	1	Baek Seokseok	1998-05-05	b12	1
332	109	1	Baek Sunyeop	2016-01-14	e1	2
333	109	0	Baek Sunil	2010-07-05	g12	1
334	110	1	Baek Sungsik	2020-11-14	g18	3
335	110	0	Baek Incheon	1995-01-05	e14	1
336	110	0	Baek Inje	2016-01-19	a14	2
337	110	0	Baek Yerin	1997-05-05	g12	1
338	111	1	Baek Junghyun	1990-12-04	a4	1
339	111	0	Baek Jungki	1989-02-04	a1	1
340	111	1	Baek Jongmin	1988-02-01	b6	1
341	111	0	Baek Jonghyun	1998-12-01	d4	1
342	111	1	Baek Jongwon	1995-01-01	a3	1
343	112	0	Ha Gunhee	2016-05-06	f8	2
344	112	1	Ha Ryunryun	1992-02-06	f10	1
345	112	0	Ha Ransah	1989-02-02	f3	1
346	112	1	Ha Donggyun	1995-12-06	f13	1
347	113	0	Ha Daesung	2000-05-05	a6	1
348	113	1	Ha Nakyong	2016-02-01	g1	2
349	113	0	Ha Giljong	2010-05-08	e3	1
350	113	1	Ha Sooyoung	2017-06-04	f1	2
351	114	0	Ha Eunjoo	1999-05-06	a14	1
352	114	1	Ha Yeonjoo	2020-10-01	b19	3
353	114	0	Ha Eunji	2010-07-01	g12	1
354	114	1	Ha Ilil	2018-05-01	e11	2
355	114	0	Ha Ilkwon	2004-01-13	g11	1
356	115	1	Ha Ilsung	2005-01-15	a2	1
357	115	0	Ha Jaesang	1999-01-13	a5	1
358	115	1	Ha Jiyoung	1980-05-01	g1	1
359	115	0	Ha Jonghwa	1990-03-01	g20	1
360	116	0	Ha Jooseok	2018-06-01	d20	2
361	116	1	Ha Chunhwa	1992-03-04	e12	1
362	116	0	Ha Taekyong	1998-05-05	f20	1
363	116	1	Ha Taegyun	2010-07-05	g20	1
364	117	1	Ha Heeok	1995-01-05	e8	1
365	117	1	Ha Resoo	2018-05-07	g9	2
366	117	0	Ham Kyukyu	1990-12-04	a1	1
367	117	1	Ham Kyongwoo	2014-12-03	e12	2
368	117	0	Ham Kiyong	1988-02-01	e3	1
369	118	1	Ham Dukyong	2021-02-15	a8	3
370	118	0	Ham Dukjoo	1995-01-01	b1	1
371	118	1	Ham Donhee	2017-05-06	a3	2
372	119	0	Ham Dooyoung	1989-02-02	e12	1
373	119	1	Ham Myungsoo	1995-12-06	d13	1
374	119	0	Ham Sungdeuk	2000-05-05	a1	1
375	119	1	Ham Sungheon	2014-12-03	a20	2
376	120	0	Ham Youngjoo	1999-05-06	a9	1
377	120	1	Ham Youngjun	2018-06-01	b9	2
378	120	0	Ham Younghoon	2004-01-13	e20	1
379	121	1	Ham Wonyong	2020-10-01	a9	3
380	121	0	Ham Eunjung	1999-01-13	e1	1
381	121	1	Jeon Jihwan	2014-12-03	g1	2
382	122	1	Jeon Ikhyuk	1990-03-01	d12	1
383	122	1	Jeon Jina	1991-06-09	d1	1
384	122	0	Jeon Haere	1996-09-18	a8	1
385	123	1	Jeon Seokjae	1992-05-06	a9	1
386	123	0	Bae Geumtaek	1993-07-15	b9	1
387	123	1	Bae Kibeom	1992-08-09	d20	1
388	123	0	Bae Nara	2015-06-09	a19	2
389	124	1	Bae Dabin	2005-05-16	a6	1
390	124	0	Bae Dahae	2004-05-06	f2	1
391	124	1	Bae Dalgun	2005-05-15	f1	1
392	124	0	Bae Daeyeol	2010-03-01	f9	1
393	125	1	Bae Dongsung	2016-05-06	f1	2
394	125	0	Bae Doohoon	1991-05-05	f3	1
395	125	1	Bae Doona	2016-02-01	f20	2
396	125	0	Bae Minsoo	1998-02-05	f18	1
397	125	1	Bae Minhee	2020-09-02	f12	3
398	126	0	Ko Minsi	1996-06-06	g12	1
399	126	1	Ko Junghwan	2012-06-09	d12	2
400	126	0	Bae Sanggab	1991-06-09	a14	1
401	126	1	Bae Sungryong	1992-02-05	d20	1
402	126	0	Bae Seolseol	1990-05-05	e11	1
403	127	1	Bae Sungwoo	1995-12-05	a5	1
404	127	0	Bae Sungwoong	2000-05-05	b20	1
405	127	1	Bae Dongsung	2017-09-01	d1	2
406	128	0	Bae Kijong	2005-05-05	a1	1
407	128	1	Bae Junghwa	1997-08-09	b12	1
408	128	0	Bae Jesung	1998-05-05	c3	1
409	128	1	Bae Jewook	2010-07-05	d10	1
410	129	1	Bae Jongok	2017-06-04	a4	2
411	129	0	Bae Joohyun	1997-05-05	a17	1
412	129	1	Bae Joogeol	2018-05-07	e19	2
413	129	0	Bae Yoonjung	1989-02-04	d1	1
414	129	1	Bae Yoonsik	2022-04-05	g1	3
415	130	1	Bae Yoonkyong	1998-12-01	g19	1
416	130	0	Bae Ildo	2016-01-19	g1	2
417	130	1	Bae Youngho	1997-09-04	a4	1
418	130	0	Bae Youngsoo	1999-02-05	f3	1
419	131	0	Bae Hyeji	2001-02-03	a4	1
420	131	1	Bae Hoho	2002-02-01	f5	1
421	131	0	Bae Hoyoung	2002-02-03	f19	1
422	131	1	Bae Hyosung	2001-02-01	a9	1
423	131	0	Je Galryeol	2017-05-06	a10	2
424	132	1	Je Galjun	2003-06-05	a18	1
425	132	0	Je Galmin	2001-02-02	c3	1
426	132	1	Ma Minsoo	1998-02-05	e12	1
427	132	0	Ma Nakgil	1994-02-05	d12	1
428	133	1	Ma Gwangsoo	2017-09-01	e13	2
429	133	0	Lee Gwangsoo	1992-05-05	g12	1
430	133	1	Ma Younggoo	2018-06-01	a3	2
431	133	0	Ma Jyahchi	1990-05-01	e14	1
432	133	1	Ma Jaekyong	2020-11-06	g11	3
433	134	0	Ma Jeomsan	1990-05-05	g12	1
434	134	1	Ma Junggil	2016-02-01	e1	2
435	134	0	Ma Jongki	1995-09-18	a14	1
436	134	1	Ma Joongyoung	1997-05-06	e20	1
437	135	0	Ma Cheoljun	1993-06-15	c4	1
438	135	1	Ma Hyunji	1992-08-09	c5	1
439	135	0	Ma Hongkyu	1990-06-06	b12	1
440	136	1	Min Kangbok	2016-01-14	a5	2
441	136	0	Min Kyongheon	2005-05-06	f1	1
442	137	0	Min Gabryong	2004-05-06	a6	1
443	137	1	Min Wookwook	2005-05-05	f2	1
444	137	0	Min Yoonki	2005-05-05	f6	1
445	138	1	Kim Namjun	2016-02-01	a5	2
446	138	0	Kim Seokjin	1995-01-06	g12	1
447	138	1	Kim Taehyung	2018-05-07	f2	2
448	139	0	Park Jimin	2000-06-06	d4	1
449	139	1	Jeon Jungguk	2021-02-06	f3	3
450	139	0	Jung Hoseok	1997-09-04	f1	1
451	139	1	Cheon Sooyeon	2016-01-19	f5	2
452	140	0	Cheon Sungim	2001-02-03	g4	1
453	140	1	Cheon Kyongja	2002-02-01	e12	1
454	140	1	Cheon Gehhyoung	2003-02-03	b18	1
455	140	1	Cheon Kyuduk	2004-02-06	c14	1
456	141	0	Cheon Danbi	2001-02-01	d18	1
457	141	1	Cheon Bosung	2002-02-01	d11	1
458	141	0	Cheon Youngsung	2016-01-14	d12	2
459	141	1	Cheon Jungmyung	1998-12-04	a1	1
460	142	0	Cheon Onyoo	1997-12-01	c8	1
461	142	1	Cheon Jaehwan	1996-02-10	e18	1
462	142	0	Cheon Jaein	1998-12-01	g19	1
463	142	1	Cheon Jaewon	2016-05-06	d12	2
464	143	0	Cheon Junghee	2001-02-03	f2	1
465	143	1	Cheon Jongbeom	2015-06-09	a2	2
466	143	0	Cheon Joowon	2005-06-05	a4	1
467	143	1	Cheon Daegwang	2020-10-01	a10	3
468	144	0	Cheon Jisun	1998-05-05	b19	1
469	144	1	Cheon Hahrahm	2012-06-09	c18	2
470	144	1	Kim Hahrahm	1997-09-04	d12	1
471	144	1	Kim Haheun	1999-02-05	d1	1
472	145	0	Park Gunryul	2001-02-03	a5	1
473	145	1	Park Kanggyun	2002-02-01	b20	1
474	145	0	Park Gunryul	2002-02-03	e19	1
475	146	1	Park Gunhyung	2014-12-03	a18	2
476	146	0	Park Gunhoo	2002-01-01	d1	1
477	146	1	Park Kyongjae	2003-06-05	c1	1
478	147	0	Park Kyongmin	2018-05-07	a4	2
479	147	1	Park Kyongkyong	1998-02-05	g2	1
480	147	0	Park Kyongrim	2017-09-01	d12	2
481	147	1	Park Kyongseok	1996-06-06	b1	1
482	147	0	Park Kyongseo	2021-02-15	a14	3
483	148	1	Park Goyeol	1991-06-09	a5	1
484	148	0	Park Kyure	2016-05-06	e4	2
485	148	1	Park Kyuwon	1988-02-01	g2	1
486	149	0	Park Kyuhoon	1995-01-01	g1	1
487	149	1	Park Gunhye	1989-02-02	e12	1
488	149	1	Park Gunhong	1995-12-06	d10	1
489	149	1	Park Gunhyung	2000-05-05	a3	1
490	150	0	Park Myunghwan	1999-05-06	d18	1
491	150	1	Kim Chaewon	2016-01-19	d1	2
492	150	0	Jang Wonyoung	1999-01-13	d19	1
493	150	1	Kim Aere	1990-03-01	d10	1
494	151	0	Park Minjung	1991-06-09	d1	1
495	151	1	Park Minji	1996-09-18	e12	1
496	151	0	Park Minjoo	2018-06-01	b1	2
497	152	1	Kim Gaeul	1993-07-15	a6	1
498	152	0	Kim Yoreum	2017-06-04	b2	2
499	152	1	Park Sunghwa	2005-05-16	a5	1
500	153	0	Park Seirim	2020-11-14	a6	3
501	153	1	Baek Jiheon	2005-05-15	b3	1
502	153	1	Park Seihwan	2012-06-02	d5	2
503	153	1	Park Sodam	1991-05-05	e5	1
504	154	0	Park Sungtae	1998-02-05	c20	1
505	154	1	Jo Gaeun	1996-06-06	a12	1
506	154	0	Jo Gabkyong	1991-06-09	b11	1
507	155	1	Jo Gabje	1992-02-05	a4	1
508	155	0	Jo Kyongyi	2017-05-06	b1	2
509	156	1	Jo Kyongtae	1995-12-05	a8	1
510	156	0	Jo Gehhhyun	2000-05-05	b8	1
511	156	1	Jo Gwanwoo	2005-05-05	e1	1
512	156	0	Jo Gwangrae	1997-08-09	d12	1
513	157	1	Jong Gwangdae	2016-02-01	a4	2
514	157	0	Jo Minsoo	2010-07-05	b1	1
515	157	1	Jo Minki	2015-06-09	d12	2
516	157	1	Jo Mina	1989-02-04	a12	1
517	158	1	Jo Bahngwon	2022-04-05	d19	3
518	158	0	Jo Sangki	1997-09-04	e18	1
519	159	1	Jo Woojung	2012-06-02	d1	2
520	159	0	Jo Yoojin	2001-02-03	b1	1
